Time,G,Acc
-0.001735,100.207096,983.0316118
-0.001635,105.048018,1030.521057
-0.001535,48.33177,474.1346637
-0.001435,41.535115,407.4594782
-0.001335,73.059203,716.7107814
-0.001235,59.775711,586.3997249
-0.001135,40.896113,401.1908685
-0.001035,39.482564,387.3239528
-0.000934,37.197649,364.9089367
-0.000834,35.338734,346.6729805
-0.000734,41.903025,411.0686753
-0.000634,84.967872,833.5348243
-0.000534,92.384165,906.2886587
-0.000434,22.384426,219.5912191
-0.000334,5.24756,51.4785636
-0.000234,92.945712,911.7974347
-0.000134,107.158661,1051.226464
-3.40E-05,7.087111,69.52455891
6.60E-05,-40.140929,-393.7825135
0.000166,32.918273,322.9282581
0.000266,79.546039,780.3466426
0.000366,43.045483,422.2761882
0.000466,37.99156,372.6972036
0.000566,60.395349,592.4783737
0.000666,41.031659,402.5205748
0.000766,36.423101,357.3106208
0.000866,39.4632,387.133992
0.000966,51.313779,503.388172
0.001066,70.115922,687.8371948
0.001166,56.61943,555.4366083
0.001266,29.297263,287.40615
0.001366,38.030287,373.0771155
0.001466,51.488052,505.0977901
0.001566,64.713452,634.8389641
0.001666,57.897433,567.9738177
0.001766,38.901653,381.6252159
0.001866,39.792383,390.3632772
0.001966,31.059359,304.6923118
0.002066,35.609826,349.3323931
0.002166,62.622174,614.3235269
0.002266,59.330346,582.0306943
0.002366,45.795127,449.2501959
0.002466,39.753656,389.9833654
0.002567,47.96386,470.5254666
0.002667,62.912629,617.1728905
0.002767,49.880866,489.3312955
0.002867,36.481192,357.8804935
0.002967,42.580754,417.7171967
0.003067,49.706592,487.6216675
0.003167,33.615366,329.7667405
0.003267,25.34707,248.6547567
0.003367,45.001216,441.461929
0.003467,44.033031,431.9640341
0.003567,34.622278,339.6445472
0.003667,48.196225,472.8049673
0.003767,59.369074,582.4106159
0.003867,50.132594,491.8007471
0.003967,44.34285,435.0033585
0.004067,55.244608,541.9496045
0.004167,73.930569,725.2588819
0.004267,48.932045,480.0233615
0.004367,3.98892,39.1313052
0.004467,22.849154,224.1502007
0.004567,46.802039,459.1280026
0.004667,37.352558,366.428594
0.004767,28.23226,276.9584706
0.004867,45.369126,445.0711261
0.004967,25.986072,254.9233663
0.005067,-1.219912,-11.96733672
0.005167,34.777187,341.1642045
0.005267,54.198968,531.6918761
0.005367,17.233684,169.06244
0.005467,-31.678997,-310.7709606
0.005567,-52.514327,-515.1655479
0.005667,-11.850578,-116.2541702
0.005767,8.34575,81.8718075
0.005867,11.889306,116.6340919
0.005968,38.282015,375.5465672
0.006068,60.937533,597.7971987
0.006168,30.304175,297.2839568
0.006268,12.896218,126.5118986
0.006368,24.882342,244.095775
0.006468,38.185197,374.5967826
0.006568,28.987444,284.3668256
0.006668,15.394134,151.0164545
0.006768,34.157549,335.0855557
0.006868,30.478448,298.9935749
0.006968,-0.36791,-3.6091971
0.007068,43.335938,425.1255518
0.007168,131.285818,1287.913875
0.007268,115.639957,1134.427978
0.007368,15.432861,151.3963664
0.007468,-2.556007,-25.07442867
0.007568,52.514327,515.1655479
0.007668,47.828314,469.1957603
0.007768,31.601542,310.011127
0.007868,40.35393,395.8720533
0.007968,54.973516,539.290192
0.008068,53.463148,524.4734819
0.008168,48.641589,477.1739881
0.008268,41.515751,407.2695173
0.008368,43.761939,429.3046216
0.008468,54.024695,529.982258
0.008568,40.857386,400.8109567
0.008668,21.087058,206.864039
0.008768,38.127106,374.0269099
0.008868,75.09239,736.6563459
0.008968,65.391181,641.4874856
0.009068,42.542027,417.3372849
0.009168,52.591782,515.9253814
0.009268,41.941753,411.4485969
0.009369,28.406533,278.6680887
0.009469,40.663749,398.9113777
0.009569,52.669237,516.685215
0.009669,44.613942,437.662771
0.009769,25.017888,245.4254813
0.009869,37.275103,365.6687604
0.009969,53.521239,525.0433546
0.010069,30.730176,301.4630266
0.010169,29.955628,293.8647107
0.010269,52.127054,511.3663997
0.010369,65.216908,639.7778675
0.010469,47.712132,468.0560149
0.010569,33.692821,330.526574
0.010669,44.672033,438.2326437
0.010769,46.201764,453.2393048
0.010869,43.316575,424.9356008
0.010969,39.405109,386.5641193
0.011069,32.259908,316.4696975
0.011169,46.550311,456.6585509
0.011269,56.929249,558.4759327
0.011369,49.997048,490.4710409
0.011469,50.965232,499.9689259
0.011569,51.158869,501.8685049
0.011669,53.637421,526.1831
0.011769,44.826942,439.752301
0.011869,39.2502,385.044462
0.011969,50.210048,492.5605709
0.012069,50.11323,491.6107863
0.012169,53.269511,522.5739029
0.012269,48.951408,480.2133125
0.012369,21.435605,210.2832851
0.012469,23.72052,232.6983012
0.012569,45.465944,446.0209106
0.012669,41.167205,403.8502811
0.012769,21.493696,210.8531578
0.01287,22.810427,223.7702889
0.01297,40.72184,399.4812504
0.01307,32.37609,317.6094429
0.01317,20.060783,196.7962812
0.01327,34.389914,337.3650563
0.01337,37.352558,366.428594
0.01347,14.464676,141.8984716
0.01357,1.47164,14.4367884
0.01367,22.597426,221.6807491
0.01377,43.820031,429.8745041
0.01387,36.519919,358.2604054
0.01397,24.475704,240.1066562
0.01407,22.655517,222.2506218
0.01417,27.089802,265.7509576
0.01427,32.201817,315.8998248
0.01437,30.846358,302.602772
0.01447,28.696989,281.5174621
0.01457,23.081519,226.4297014
0.01467,19.905873,195.2766141
0.01477,25.540707,250.5543357
0.01487,19.441145,190.7176325
0.01497,36.152009,354.6512083
0.01507,45.156125,442.9815863
0.01517,16.614046,162.9837913
0.01527,13.786947,135.2499501
0.01537,34.699733,340.4043807
0.01547,49.299955,483.6325586
0.01557,31.756452,311.5307941
0.01567,11.153485,109.4156879
0.01577,31.136814,305.4521453
0.01587,40.160293,393.9724743
0.01597,16.749592,164.3134975
0.01607,12.702581,124.6123196
0.01617,26.431437,259.292397
